%Y-%m-%d;SBI;SPI;SII;LP25;LP40;LP60
2001-09-04;96.39;4519.44;146.29;100.81;96.83;91.39
2001-09-05;96.21;4482.96;146.391;100.49;96.44;90.92
2001-09-06;96.24;4410.85;146.585;100.06;95.75;89.9
2001-09-07;96.39;4323.05;146.377;99.6;94.94;88.68
2001-09-10;96.45;4238.06;146.224;99.48;94.74;88.4
2001-09-11;96.41;3955.34;146.271;98.18;92.89;85.95
2001-09-12;96.59;4042.86;146.061;98.47;93.21;86.27
2001-09-13;96.55;4080.07;145.862;98.54;93.33;86.44
2001-09-14;96.68;3903.15;145.788;97.84;92.21;84.85
2001-09-17;96.75;4004.5;145.735;97.56;91.76;84.11
2001-09-18;96.83;3956.96;145.634;97.32;91.38;83.57
2001-09-19;96.76;3908.69;145.604;96.9;90.78;82.76
2001-09-20;96.77;3735.14;145.118;96.08;89.55;81.05
2001-09-21;96.73;3546.6;145.289;94.95;87.99;79
2001-09-24;96.71;3754.35;144.826;96.22;89.82;81.49
2001-09-25;96.75;3858.78;145.009;96.51;90.23;82.02
2001-09-26;96.67;3920.27;145.094;96.91;90.78;82.73
2001-09-27;96.72;3968.87;145.076;97.23;91.23;83.33
2001-09-28;96.76;4085.51;144.895;97.81;92.11;84.58
2001-10-01;96.76;4032.03;145.123;97.76;91.98;84.35
2001-10-02;96.87;4021.86;145.389;97.98;92.26;84.73
2001-10-03;97.05;3985.58;144.838;98.05;92.3;84.76
2001-10-04;97.27;4086.64;144.594;98.69;93.18;85.9
2001-10-05;97.43;4049.18;144.815;98.57;92.97;85.59
2001-10-08;97.56;4047.75;145.232;98.52;92.81;85.29
2001-10-09;97.49;4037.5;144.336;98.41;92.68;85.14
2001-10-10;97.44;4064.84;144.693;98.86;93.38;86.14
2001-10-11;97.35;4151.23;144.531;99.37;94.2;87.32
2001-10-12;97.34;4110.68;145.262;99.2;93.93;86.94
2001-10-15;97.41;4082.97;145.181;98.97;93.56;86.41
2001-10-16;97.47;4082.64;144.768;99.17;93.81;86.72
2001-10-17;97.47;4106.45;145.008;99.24;93.91;86.83
2001-10-18;97.52;4144.81;144.557;99.2;93.79;86.61
2001-10-19;97.64;4129.11;144.806;99.26;93.81;86.59
2001-10-22;97.68;4197.46;144.745;99.84;94.6;87.62
2001-10-23;97.66;4263.71;144.515;100.21;95.13;88.32
2001-10-24;97.73;4267.62;144.54;100.28;95.2;88.37
2001-10-25;97.85;4213.24;144.423;100.14;94.94;88
2001-10-26;97.94;4253.84;145.021;100.42;95.33;88.52
2001-10-29;98.11;4176.38;144.931;99.89;94.41;87.13
2001-10-30;98.3;4089.15;144.417;99.38;93.56;85.9
2001-10-31;98.34;4137.99;144.925;99.73;94.03;86.5
2001-11-01;98.61;4149.82;145.115;100.1;94.47;87.03
2001-11-02;98.59;4163.7;145.097;100.15;94.59;87.23
2001-11-05;98.62;4226.83;145.225;100.74;95.41;88.3
2001-11-06;98.64;4234.34;145.155;100.94;95.69;88.68
2001-11-07;98.76;4244.37;144.95;100.97;95.65;88.57
2001-11-08;98.65;4339.98;144.989;101.32;96.24;89.4
2001-11-09;98.49;4307.15;145.165;101.04;95.93;89.07
2001-11-12;98.26;4236.68;145.352;100.57;95.3;88.27
2001-11-13;98.03;4336.97;145.71;101.28;96.44;89.9
2001-11-14;97.75;4363.2;146.099;100.06;95.63;89.57
2001-11-15;97.37;4447.49;145.05;101.13;96.6;90.4
2001-11-16;97.17;4464.2;145.362;100.91;96.38;90.18
2001-11-19;97.15;4496.3;145.811;101.17;96.81;90.81
2001-11-20;97.33;4417.91;145.815;100.74;96.16;89.9
2001-11-21;97.18;4424.67;146.478;100.76;96.19;89.95
2001-11-22;97.12;4451.8;146.789;100.79;96.28;90.11
2001-11-23;97.2;4399;146.136;100.95;96.48;90.38
2001-11-26;97.23;4406.64;146.971;101.1;96.65;90.59
2001-11-27;96.9;4367.96;147.086;100.63;96.09;89.91
2001-11-28;96.95;4289.9;147.004;100.05;95.25;88.77
2001-11-29;96.94;4296.56;147.109;100.39;95.68;89.31
2001-11-30;97;4260.27;146.992;100.37;95.59;89.18
2001-12-03;97.09;4259.32;147.039;100.41;95.56;89.05
2001-12-04;97.09;4346.82;147.063;100.76;96.1;89.79
2001-12-05;96.77;4409.71;146.96;101.18;96.86;90.96
2001-12-06;96.25;4407.06;146.696;100.85;96.59;90.78
2001-12-07;96.1;4398.69;146.285;100.56;96.28;90.44
2001-12-10;96.04;4340.72;146.126;100.23;95.8;89.76
2001-12-11;96.16;4324.06;145.908;100.16;95.65;89.53
2001-12-12;96.36;4315.98;145.565;100.17;95.57;89.33
2001-12-13;96.51;4273.2;145.472;99.86;95;88.45
2001-12-14;96.46;4228.23;145.334;99.65;94.7;88.05
2001-12-17;96.2;4302.98;144.995;99.83;95.07;88.64
2001-12-18;96.11;4282.94;144.999;99.84;95.13;88.77
2001-12-19;96.1;4231.51;145.546;99.76;95.03;88.68
2001-12-20;95.98;4296.84;145.515;99.65;94.92;88.53
2001-12-21;95.89;4340.79;145.302;99.92;95.36;89.16
2001-12-24;95.89;4340.79;145.302;100.42;96.03;90.05
2001-12-25;95.89;4340.79;145.302;100.42;96.02;90.04
2001-12-26;95.89;4340.79;145.302;100.46;96.08;90.13
2001-12-27;95.73;4374.9;145.675;100.51;96.21;90.35
2001-12-28;95.72;4382.94;145.394;100.53;96.33;90.58
2001-12-31;95.72;4382.94;145.394;100.26;95.92;89.99
2002-01-01;95.72;4382.94;145.394;100.03;95.7;89.79
2002-01-02;95.72;4351.45;145.009;100.08;95.64;89.59
2002-01-03;95.87;4359.12;145.195;100.45;96.13;90.23
2002-01-04;95.95;4372.28;145.884;100.6;96.35;90.55
2002-01-07;96.13;4368.06;146.035;100.66;96.32;90.4
2002-01-08;96.4;4321.85;145.803;100.67;96.19;90.12
2002-01-09;96.37;4354.48;145.281;100.79;96.33;90.26
2002-01-10;96.52;4355.44;145.698;100.86;96.34;90.21
2002-01-11;96.55;4389.29;145.52;100.89;96.36;90.18
2002-01-14;96.66;4311.61;145.916;100.68;95.93;89.51
2002-01-15;96.48;4305.72;146.302;100.7;96.02;89.69
2002-01-16;96.52;4269.13;146.591;100.37;95.55;89.05
2002-01-17;96.4;4319.58;146.932;100.55;95.89;89.57
2002-01-18;96.3;4303.57;146.718;100.37;95.64;89.24
2002-01-21;96.25;4263.81;146.285;100.21;95.42;88.97
2002-01-22;96.03;4284.46;146.482;100.07;95.28;88.8
2002-01-23;95.93;4313.52;146.687;100.19;95.5;89.15
2002-01-24;95.81;4364.93;146.603;100.38;95.85;89.69
2002-01-25;95.65;4351.95;146.616;100.45;96.04;90.05
2002-01-28;95.39;4378.1;146.592;100.55;96.26;90.41
2002-01-29;95.39;4319.18;146.921;100.04;95.51;89.36
2002-01-30;95.46;4246.22;146.647;99.97;95.36;89.14
2002-01-31;95.42;4265.15;146.883;100.25;95.79;89.76
2002-02-01;95.55;4261.93;147.537;100.34;95.85;89.78
2002-02-04;95.82;4237.35;147.317;100.11;95.36;88.96
2002-02-05;95.99;4194.14;147.245;99.86;94.89;88.24
2002-02-06;95.95;4175.97;147.171;99.75;94.7;87.94
2002-02-07;95.67;4251.3;147.075;99.77;94.84;88.2
2002-02-08;95.57;4262.79;147.233;99.84;95.02;88.51
2002-02-11;95.53;4286.25;147.328;100.04;95.32;88.94
2002-02-12;95.59;4270.03;146.859;100.01;95.27;88.87
2002-02-13;95.44;4322.32;147.415;100.39;95.84;89.67
2002-02-14;95.47;4377.77;146.748;100.63;96.2;90.15
2002-02-15;95.57;4374.97;147.005;100.5;95.95;89.74
2002-02-18;95.63;4350.83;146.804;100.5;95.9;89.66
2002-02-19;95.74;4256.29;146.959;99.95;95.04;88.43
2002-02-20;95.71;4232.31;147.013;100.05;95.17;88.61
2002-02-21;95.64;4253.44;147.127;99.99;95.11;88.54
2002-02-22;95.79;4224.52;146.946;99.95;95;88.36
2002-02-25;95.74;4255.18;146.914;100.31;95.52;89.07
2002-02-26;95.68;4240.05;147.024;100.26;95.49;89.07
2002-02-27;95.58;4310.91;147.02;100.61;96.03;89.83
2002-02-28;95.59;4332.86;147.318;100.58;95.99;89.77
2002-03-01;95.51;4332.68;147.153;100.85;96.44;90.45
2002-03-04;95.38;4393.54;147.172;101.27;97.13;91.47
2002-03-05;95.23;4376.22;147.409;101.02;96.83;91.12
2002-03-06;95.21;4380.48;147.741;101.05;96.91;91.27
2002-03-07;95.15;4399.7;147.464;100.88;96.73;91.04
2002-03-08;95.02;4460.83;147.836;101.13;97.13;91.63
2002-03-11;95.03;4438.62;147.987;101.09;97.08;91.58
2002-03-12;95.18;4410.21;148.131;100.97;96.87;91.25
2002-03-13;95.13;4437.94;147.845;100.89;96.72;91.01
2002-03-14;95.1;4468.83;147.833;100.74;96.53;90.74
2002-03-15;95.1;4485.27;148.03;100.93;96.81;91.14
2002-03-18;95.16;4518.81;148.504;101.08;97;91.37
2002-03-19;95.14;4524.13;147.97;101.19;97.17;91.6
2002-03-20;95.18;4513.65;148.023;100.94;96.77;91.01
2002-03-21;95.04;4506.75;148.684;100.86;96.7;90.96
2002-03-22;94.95;4519.69;149.176;100.76;96.61;90.89
2002-03-25;94.88;4515.98;149.045;100.58;96.36;90.52
2002-03-26;94.95;4537.96;149.208;100.82;96.66;90.9
2002-03-27;95.16;4545.63;149.477;101.12;97.01;91.32
2002-03-28;95.32;4561.61;149.59;101.39;97.34;91.71
2002-03-29;95.32;4561.61;149.59;101.35;97.28;91.64
2002-04-01;95.32;4561.61;149.59;101.01;96.85;91.09
2002-04-02;95.3;4573.11;149.689;101.11;96.89;91.05
2002-04-03;95.5;4591.52;150.872;101.22;96.96;91.05
2002-04-04;95.7;4575.79;150.973;101.28;96.94;90.92
2002-04-05;95.76;4572.06;150.653;101.46;97.12;91.11
2002-04-08;95.72;4521.36;150.816;101.35;96.95;90.88
2002-04-09;95.61;4556.94;150.699;101.33;96.93;90.85
2002-04-10;95.67;4580.77;150.928;101.52;97.22;91.26
2002-04-11;95.65;4527.6;150.331;101.04;96.47;90.18
2002-04-12;95.8;4522.59;150.481;101.22;96.69;90.46
2002-04-15;95.94;4536.31;150.125;101.4;96.84;90.57
2002-04-16;95.76;4578.03;150.809;101.7;97.36;91.36
2002-04-17;95.65;4601.89;150.261;101.69;97.38;91.4
2002-04-18;95.71;4599.26;150.023;101.56;97.19;91.13
2002-04-19;95.74;4597.1;150.35;101.61;97.25;91.21
2002-04-22;95.9;4600.12;149.326;101.61;97.14;90.96
2002-04-23;95.93;4594.98;149.941;101.56;97.02;90.75
2002-04-24;95.91;4598.15;149.844;101.44;96.84;90.48
2002-04-25;96.22;4541.01;150.944;101.27;96.5;89.95
2002-04-26;96.19;4503.45;150.371;101.13;96.21;89.48
2002-04-29;96.18;4525.27;150.134;101.01;96.03;89.2
2002-04-30;96.15;4519.16;149.755;100.99;96.06;89.29
2002-05-01;96.15;4519.16;149.755;100.87;95.92;89.13
2002-05-02;96.49;4515.65;149.32;101.02;96.02;89.17
2002-05-03;96.58;4544.63;149.476;100.98;95.85;88.83
2002-05-06;96.67;4529.34;149.535;100.83;95.56;88.35
2002-05-07;96.82;4466.67;149.748;100.76;95.38;88.08
2002-05-08;96.72;4540.36;149.154;101.31;96.26;89.34
2002-05-09;96.72;4542.65;148.824;101.16;96.03;89.01
2002-05-10;96.66;4508.76;149.078;100.8;95.5;88.28
2002-05-13;96.66;4508.76;149.078;101.05;95.89;88.84
2002-05-14;96.54;4566.84;149.501;101.48;96.58;89.85
2002-05-15;96.53;4599.06;149.646;101.45;96.56;89.83
2002-05-16;96.53;4599.06;149.646;101.54;96.69;89.99
2002-05-17;96.53;4599.06;149.646;101.37;96.44;89.66
2002-05-20;96.53;4599.06;149.646;101.21;96.17;89.26
2002-05-21;96.62;4575.14;151.477;101.23;96.15;89.18
2002-05-22;96.79;4553.35;150.921;101.17;95.99;88.9
2002-05-23;96.77;4536.18;150.642;101.41;96.29;89.29
2002-05-24;96.7;4543.34;150.894;101.36;96.21;89.18
2002-05-27;96.47;4565.67;150.711;101.35;96.28;89.32
2002-05-28;96.35;4550.01;151.444;101.01;95.85;88.78
2002-05-29;96.44;4559.23;151.706;101.06;95.86;88.74
2002-05-30;96.47;4523.85;152.098;100.84;95.5;88.21
2002-05-31;96.5;4546.05;152.138;100.94;95.64;88.4
2002-06-03;96.49;4529.68;153.373;100.76;95.31;87.88
2002-06-04;96.58;4442.31;153.995;100.42;94.79;87.16
2002-06-05;96.58;4436.43;153.952;100.66;95.09;87.53
2002-06-06;96.52;4411.94;154.056;100.34;94.6;86.85
2002-06-07;96.59;4335.71;154.758;99.97;94.08;86.16
2002-06-10;96.59;4347.46;154.19;100.13;94.27;86.4
2002-06-11;96.57;4389.8;154.769;100.25;94.4;86.51
2002-06-12;96.62;4264.96;155.037;99.96;93.93;85.88
2002-06-13;96.7;4205.63;155.175;99.74;93.57;85.35
2002-06-14;96.9;4153.43;154.984;99.52;93.16;84.73
2002-06-17;96.86;4269.49;154.712;100.26;94.22;86.14
2002-06-18;96.93;4213.68;154.57;100.09;93.96;85.81
2002-06-19;97.01;4148.48;154.566;99.58;93.18;84.69
2002-06-20;97.07;4023.65;153.639;98.96;92.26;83.43
2002-06-21;97.06;4030.79;153.888;98.79;91.97;83
2002-06-24;97.17;3902.35;153.508;98.4;91.36;82.16
2002-06-25;97.14;4023.73;154.426;98.74;91.81;82.7
2002-06-26;97.35;3919.18;154.688;98.16;90.93;81.49
2002-06-27;97.14;3979.29;154.621;98.64;91.64;82.46
2002-06-28;97.17;4146.93;153.961;99.05;92.28;83.31
2002-07-01;97.19;4146.72;154.384;98.92;92.04;82.95
2002-07-02;97.28;4063.18;154.324;98.43;91.28;81.9
2002-07-03;97.39;3963.86;154.125;98.22;90.96;81.47
2002-07-04;97.35;4053.61;154.262;98.55;91.43;82.08
2002-07-05;97.25;4169.92;154.91;99.36;92.65;83.77
2002-07-08;97.25;4170.08;155.107;99.15;92.32;83.29
2002-07-09;97.27;4147.14;154.728;98.88;91.89;82.65
2002-07-10;97.45;4023.31;155.312;98.39;91.06;81.47
2002-07-11;97.65;3867.54;154.808;97.91;90.3;80.44
2002-07-12;97.69;3911.01;154.831;98.08;90.49;80.64
2002-07-15;97.85;3746.08;155.252;97.33;89.33;79.05
2002-07-16;97.96;3658.2;154.979;96.92;88.7;78.19
2002-07-17;97.79;3706.01;154.518;97.15;89.07;78.72
2002-07-18;97.79;3689.69;154.549;96.97;88.81;78.37
2002-07-19;98.04;3498.09;154.921;96.04;87.38;76.4
2002-07-22;98.26;3314.62;154.944;95.3;86.19;74.75
2002-07-23;98.3;3262.26;154.814;95.14;85.88;74.28
2002-07-24;98.63;3234.84;154.615;95.33;86.12;74.6
2002-07-25;98.49;3427.53;154.146;95.83;86.81;75.43
2002-07-26;98.52;3503.19;154.193;96.26;87.42;76.22
2002-07-29;98.33;3664.06;154.577;97.37;89.12;78.58
2002-07-30;98.04;3632.58;154.431;97.15;88.88;78.32
2002-07-31;98.11;3623.48;154.977;97.24;89.03;78.57
2002-08-01;98.11;3559.72;154.499;96.59;88.08;77.27
2002-08-02;98.49;3522.24;155.064;96.52;87.82;76.81
2002-08-05;98.71;3395.24;155.324;95.96;86.87;75.47
2002-08-06;98.58;3569.3;155.382;97.07;88.45;77.53
2002-08-07;98.55;3523.49;155.333;97.07;88.49;77.63
2002-08-08;98.46;3646.47;155.836;97.83;89.63;79.16
2002-08-09;98.42;3689.19;155.319;98.01;89.88;79.48
2002-08-12;98.53;3636.94;155.427;97.75;89.46;78.89
2002-08-13;98.64;3687.37;155.238;97.86;89.53;78.89
2002-08-14;98.74;3662.5;155.761;97.96;89.65;79.05
2002-08-15;98.46;3766.81;155.627;98.5;90.49;80.19
2002-08-16;98.42;3754.47;156.007;98.37;90.38;80.1
2002-08-19;98.34;3842.09;156.176;99;91.29;81.29
2002-08-20;98.44;3742.47;156.294;98.67;90.77;80.61
2002-08-21;98.28;3811.47;156.154;98.86;91.09;81.04
2002-08-22;98.1;3833.42;156.4;99.22;91.66;81.85
2002-08-23;97.99;3824.2;156.221;98.98;91.29;81.33
2002-08-26;98.01;3782.08;156.834;98.89;91.19;81.24
2002-08-27;98.03;3823.61;156.432;98.79;91.05;81.02
2002-08-28;98.27;3678.62;155.902;98.27;90.17;79.81
2002-08-29;98.51;3586.7;155.553;97.99;89.68;79.11
2002-08-30;98.56;3652.39;155.39;98.38;90.15;79.64
2002-09-02;98.67;3562.88;155.517;98.12;89.71;79.03
2002-09-03;98.88;3446.33;155.531;97.15;88.22;76.99
2002-09-04;99.03;3470.97;155.517;97.38;88.51;77.35
2002-09-05;99.31;3465.93;155.572;97.33;88.34;77.04
2002-09-06;99.28;3559.01;154.934;97.88;89.12;78.05
2002-09-09;99.22;3511.75;155.457;97.82;89.06;77.99
2002-09-10;99.16;3571.13;155.025;98.23;89.69;78.86
2002-09-11;99.11;3652.78;154.841;98.62;90.24;79.56
2002-09-12;99.35;3542.09;155.386;98.09;89.38;78.36
2002-09-13;99.67;3460.38;154.762;97.89;88.97;77.76
2002-09-16;99.89;3460.31;154.84;98.2;89.28;78.07
2002-09-17;99.87;3429.34;154.948;98.14;89.12;77.82
2002-09-18;100.12;3363.21;154.713;97.66;88.38;76.79
2002-09-19;100.18;3305.07;154.922;97.19;87.65;75.79
2002-09-20;100.15;3309.07;154.805;97.12;87.55;75.66
2002-09-23;100.21;3193.19;154.165;96.62;86.8;74.66
2002-09-24;100.29;3190.1;154.376;96.47;86.53;74.26
2002-09-25;100.1;3243.34;154.071;96.82;87.08;75.01
2002-09-26;100.03;3406.91;154.486;97.6;88.23;76.52
2002-09-27;100.08;3415.4;154.312;97.41;87.94;76.11
2002-09-30;100.34;3336.21;154.613;96.7;86.86;74.62
2002-10-01;100.3;3292.04;154.755;97.08;87.38;75.32
2002-10-02;100.17;3372.69;154.93;97.17;87.52;75.47
2002-10-03;100.2;3332.14;155.367;96.8;87.04;74.88
2002-10-04;100.17;3258.46;155.329;96.4;86.48;74.19
2002-10-07;100.3;3183.83;155.462;95.99;85.82;73.31
2002-10-08;100.24;3138.05;155.981;96.09;85.94;73.46
2002-10-09;100.24;3095.92;156.006;95.53;85.16;72.47
2002-10-10;100.19;3153.42;155.648;95.98;85.84;73.37
2002-10-11;99.87;3310.08;155.724;96.82;87.15;75.13
2002-10-14;99.69;3281.04;156.677;96.56;86.9;74.9
2002-10-15;99.42;3461.79;156.827;97.81;88.76;77.34
2002-10-16;99.42;3416.55;156.598;97.37;88.16;76.58
2002-10-17;99.37;3464.51;156.937;97.97;89.06;77.8
2002-10-18;99.51;3452.97;157.877;98.09;89.18;77.92
2002-10-21;99.57;3420.19;157.581;98.22;89.31;78.08
2002-10-22;99.57;3395.74;157.215;97.89;88.85;77.49
2002-10-23;99.63;3322.09;157.93;97.65;88.5;77.06
2002-10-24;99.59;3407.36;158.258;97.9;88.84;77.44
2002-10-25;99.69;3433.97;158.244;98.1;89.1;77.76
2002-10-28;99.83;3411.14;158.447;98.05;88.97;77.55
2002-10-29;100.04;3312.07;158.862;97.54;88.17;76.48
2002-10-30;100.06;3401.27;159.261;98.05;88.87;77.34
2002-10-31;100.12;3442.53;159.753;98.08;88.9;77.34
2002-11-01;100.31;3406.67;159.878;98.1;88.86;77.27
2002-11-04;100.22;3494.5;159.523;98.6;89.59;78.2
2002-11-05;100.2;3502.28;159.433;98.59;89.62;78.27
2002-11-06;100.13;3486.49;159.245;98.64;89.7;78.4
2002-11-07;100.32;3415.46;159.624;98.13;88.9;77.31
2002-11-08;100.4;3380.12;159.366;97.99;88.6;76.84
2002-11-11;100.51;3343.83;159.509;97.75;88.19;76.25
2002-11-12;100.63;3385.19;156.998;98.05;88.57;76.7
2002-11-13;100.7;3368.72;157.03;98.06;88.53;76.62
2002-11-14;100.61;3443.95;156.313;98.58;89.31;77.65
2002-11-15;100.58;3498.54;156.569;98.79;89.63;78.07
2002-11-18;100.58;3501.09;156.992;98.75;89.54;77.94
2002-11-19;100.77;3478.95;155.837;98.65;89.34;77.64
2002-11-20;101.01;3498.26;155.687;99.13;89.93;78.34
2002-11-21;100.89;3565.01;154.842;99.71;90.78;79.46
2002-11-22;100.7;3584.02;154.474;99.77;90.91;79.66
2002-11-25;100.4;3579.13;154.389;99.78;91;79.85
2002-11-26;100.44;3539.76;154.268;99.35;90.4;79.07
2002-11-27;100.38;3599;154.53;99.91;91.22;80.15
2002-11-28;100.29;3580.1;154.26;99.83;91.14;80.08
2002-11-29;100.4;3561.69;155.653;99.79;91.07;79.98
2002-12-02;100.35;3585.53;156.291;99.84;91.12;80.03
2002-12-03;100.55;3490.59;156.936;99.32;90.35;79
2002-12-04;100.56;3491.15;157.391;99.29;90.24;78.8
2002-12-05;100.64;3451.89;157.609;99.05;89.86;78.29
2002-12-06;100.91;3438.78;156.86;99.07;89.8;78.15
2002-12-09;101.01;3392.6;157.134;98.82;89.34;77.47
2002-12-10;101.11;3422.18;156.952;99.08;89.66;77.85
2002-12-11;101.25;3423.98;157.777;99.23;89.82;78.02
2002-12-12;101.4;3407.57;157.574;99.19;89.68;77.76
2002-12-13;101.44;3385.86;157.372;98.93;89.25;77.16
2002-12-16;101.43;3442.48;156.964;99.41;89.94;78.05
2002-12-17;101.51;3418.85;157.115;99.03;89.41;77.37
2002-12-18;101.7;3356.58;156.654;98.7;88.87;76.62
2002-12-19;101.78;3341.09;156.724;98.64;88.74;76.41
2002-12-20;101.74;3337.78;156.214;98.8;88.94;76.66
2002-12-23;101.77;3309.28;156.31;98.68;88.77;76.45
2002-12-24;101.77;3309.28;156.31;98.52;88.55;76.16
2002-12-25;101.77;3309.28;156.31;98.51;88.55;76.16
2002-12-26;101.77;3309.28;156.31;98.49;88.52;76.11
2002-12-27;102;3209.09;156.419;97.98;87.75;75.1
2002-12-30;102.02;3245.5;156.627;98.21;87.99;75.35
2002-12-31;102.02;3245.5;156.627;98.1;87.86;75.2
2003-01-01;102.02;3245.5;156.627;98.49;88.21;75.49
2003-01-02;102.02;3245.5;156.627;98.64;88.68;76.31
2003-01-03;101.83;3417.43;157.211;99.15;89.38;77.13
2003-01-06;101.89;3430.28;157.594;99.38;89.73;77.61
2003-01-07;102.03;3411.9;157.655;99.35;89.63;77.43
2003-01-08;102.08;3405.45;158.238;99.35;89.53;77.23
2003-01-09;101.96;3389.64;158.361;99.36;89.57;77.31
2003-01-10;101.8;3389.29;158.725;99.34;89.55;77.29
2003-01-13;101.64;3410.45;158.696;99.22;89.49;77.28
2003-01-14;101.76;3459.71;158.801;99.5;89.85;77.7
2003-01-15;101.76;3391.01;158.358;99.21;89.38;77.07
2003-01-16;101.75;3370.79;158.98;99.11;89.25;76.91
2003-01-17;101.95;3321.32;158.924;98.67;88.57;76.01
2003-01-20;101.93;3272.52;159.562;98.49;88.29;75.65
2003-01-21;101.97;3255.16;159.432;98.33;88.02;75.25
2003-01-22;102.05;3170.01;159.903;98;87.48;74.53
2003-01-23;102.01;3170.21;160.423;98.07;87.56;74.63
2003-01-24;102.18;3136.77;160.16;97.72;87.02;73.89
2003-01-27;102.23;3027.03;160.074;97.16;86.17;72.79
2003-01-28;102.16;3015.55;160.648;97.15;86.2;72.86
2003-01-29;102.21;3029.9;160.263;97.17;86.26;72.96
2003-01-30;102.03;3081.59;161.018;97.4;86.54;73.28
2003-01-31;102.06;3089.68;161.925;97.47;86.7;73.51
2003-02-03;102.01;3123.71;162.683;97.73;87.04;73.94
2003-02-04;102.14;3048.78;162.912;97.15;86.2;72.85
2003-02-05;102.14;3066.13;162.902;97.29;86.37;73.05
2003-02-06;102.17;2984.36;162.427;96.91;85.81;72.35
2003-02-07;102.21;2960.73;162.654;96.76;85.58;72.04
2003-02-10;102.22;2918.45;165.18;96.72;85.53;71.99
2003-02-11;102.2;2982.91;166.913;97.05;85.96;72.49
2003-02-12;102.34;2915.64;167.081;96.76;85.49;71.88
2003-02-13;102.45;2918.01;165.583;96.7;85.36;71.65
2003-02-14;102.45;2990.05;166.448;97.23;86.08;72.56
2003-02-17;102.41;3056.94;166.246;97.62;86.63;73.24
2003-02-18;102.4;3025.16;167.024;97.78;86.89;73.62
2003-02-19;102.49;2951.85;166.656;97.43;86.34;72.89
2003-02-20;102.57;2954.85;167.461;97.25;86.06;72.51
2003-02-21;102.51;2963.78;167.465;97.32;86.22;72.75
2003-02-24;102.6;2931.68;167.008;97.15;85.94;72.38
2003-02-25;102.63;2873.4;167.49;96.84;85.48;71.79
2003-02-26;102.41;2845.4;167.454;96.52;85.08;71.33
2003-02-27;102.35;2861.25;167.641;96.68;85.36;71.72
2003-02-28;102.35;2907.11;167.55;96.84;85.6;72.02
2003-03-03;102.39;2933.19;167.519;96.89;85.6;71.96
2003-03-04;102.51;2839.85;167.75;96.32;84.78;70.93
2003-03-05;102.72;2785.8;167.621;96.19;84.55;70.62
2003-03-06;102.98;2781.45;167.493;96.3;84.58;70.56
2003-03-07;103.29;2741.9;167.758;96.29;84.44;70.31
2003-03-10;103.39;2643.19;168.217;95.73;83.57;69.16
2003-03-11;103.41;2632.91;167.947;95.62;83.4;68.94
2003-03-12;103.3;2603.37;167.889;95.44;83.18;68.7
2003-03-13;102.93;2679.89;167.998;96.11;84.24;70.13
2003-03-14;102.6;2825.76;167.489;96.72;85.22;71.41
2003-03-17;102.27;2900.74;166.782;97.29;86.13;72.65
2003-03-18;101.57;2926.65;166.863;97.33;86.37;73.09
2003-03-19;101.03;2993.01;166.963;97.44;86.73;73.67
2003-03-20;101.2;3010.09;167.087;97.45;86.79;73.76
2003-03-21;100.92;3121.09;166.304;98.24;87.91;75.18
2003-03-24;100.95;2974.94;166.779;97.13;86.38;73.28
2003-03-25;100.84;2996.06;166.666;97.25;86.56;73.51
2003-03-26;100.64;2987.57;166.602;97.22;86.56;73.55
2003-03-27;100.99;2951.78;166.523;97.1;86.33;73.21
2003-03-28;101.08;2962.41;166.321;97.07;86.21;73.01
2003-03-31;101.5;2882.43;165.429;96.48;85.24;71.67
2003-04-01;101.58;2914.61;165.48;96.88;85.73;72.24
2003-04-02;101.33;3005.82;165.306;97.74;86.95;73.79
2003-04-03;100.97;3042.55;164.314;97.76;87.09;74.03
2003-04-04;100.92;3087.52;163.434;98.03;87.49;74.54
2003-04-07;100.48;3159.86;163.849;98.4;88.11;75.39
2003-04-08;100.55;3142.15;164.261;98.15;87.8;75.01
2003-04-09;100.66;3164.46;163.833;98.16;87.74;74.86
2003-04-10;100.84;3099.26;164.273;97.98;87.42;74.43
2003-04-11;100.65;3149.41;164.451;98.24;87.76;74.85
2003-04-14;100.54;3178.3;164.425;98.39;88.04;75.24
2003-04-15;100.59;3252.02;165.39;98.9;88.73;76.08
2003-04-16;100.72;3222.17;165.198;98.62;88.31;75.53
2003-04-17;100.92;3214.4;165.25;98.82;88.52;75.76
2003-04-18;100.92;3214.4;165.25;98.83;88.54;75.77
2003-04-21;100.92;3214.4;165.25;99.03;88.79;76.07
2003-04-22;100.93;3220.2;165.096;99.14;88.9;76.19
2003-04-23;100.84;3261.43;165.769;99.48;89.37;76.77
2003-04-24;100.99;3215.22;166.109;99.09;88.8;76.04
2003-04-25;101.03;3187.02;165.112;98.82;88.38;75.47
2003-04-28;101.14;3242.31;164.954;99.39;89.13;76.38
2003-04-29;100.93;3212.84;164.047;99.3;89.02;76.27
2003-04-30;100.91;3235.31;163.862;99.36;89.1;76.36
2003-05-01;100.91;3235.31;163.862;99.16;88.84;76.02
2003-05-02;101.1;3220.02;164.623;99.39;89.13;76.39
2003-05-05;101.13;3265.39;163.977;99.64;89.4;76.65
2003-05-06;101.21;3304.84;163.985;99.9;89.73;77.04
2003-05-07;101.6;3297.21;163.813;99.87;89.58;76.76
