%Y-%m-%d;SPI85;SBI85;SXI85;IBOR85;LPP25P;LPP40P;LPP60P;MSCIW.USD;CHF.USD;WTI.USD;CFNAI.CUM
2005-11-30;5601.68;99.82;193.02;213.1098;1011.92;1021.27;1033.36;2711.26;1.311;58.3;110.9601
2005-12-30;5742.41;101.06;200.02;213.2893;1027.15;1040.2;1057.11;2771.33;1.3053;59.43;111.4828
2006-01-31;5928.95;100.12;198.98;213.4714;1031.51;1049.8;1073.76;2895.08;1.2773;65.51;112.1873
2006-02-28;6012.26;100.33;205.1;213.6807;1039.76;1061.24;1089.55;2890.77;1.3052;61.63;112.3445
2006-03-31;6163.39;98.5;202.71;213.9032;1037.19;1065.25;1102.36;2954.33;1.305;62.9;112.7046
2006-04-28;6251.53;97.28;205.71;214.1422;1029.51;1055.05;1089.87;3044.03;1.283;69.69;112.6933
2006-05-31;5924.57;97.53;205.05;214.3963;1015.02;1030.21;1050.63;2940.05;1.219;70.94;112.5694
2006-06-30;5955.64;96.85;199.07;214.668;1012.06;1030.12;1054.12;2939.19;1.2321;70.96;112.6257
2006-07-31;6175.15;97.76;200.01;214.9455;1023.21;1043.3;1070.33;2957.53;1.2376;74.41;112.4569
2006-08-31;6357.87;99.47;200.35;215.2466;1039.88;1063.53;1095.23;3034.30;1.2318;73.04;112.3445
2006-09-29;6567.56;100.24;199.1;215.5717;1051.61;1079.81;1117.73;3070.48;1.2455;63.8;111.9744
2006-10-31;6700.4;100.44;198.68;215.9061;1060.84;1094.42;1139.46;3183.17;1.2602;58.89;111.5497
2006-11-30;6663.75;101.37;200.23;216.2572;1065.16;1097.52;1140.44;3261.12;1.2356;59.08;111.1933
2006-12-29;6929.18;100.31;206.51;216.6365;1073.47;1114.01;1168.64;3327.43;1.2099;61.96;112.0528
2007-01-31;7241.78;99.53;211.81;217.0323;1084.01;1132.33;1198.18;3366.71;1.2431;54.51;111.06
2007-02-28;6974.44;100.14;210.25;217.4341;1081.98;1125.54;1183.79;3349.19;1.2393;59.28;111.0933
2007-03-30;7183.53;99.8;215.32;217.8504;1087.38;1134.56;1198.59;3410.50;1.2178;60.44;111.2044
2007-04-30;7620.11;99.72;215.72;218.2774;1097.69;1150.8;1224.38;3560.91;1.2124;63.98;110.7051
2007-05-31;7682.32;98.35;214.63;218.7272;1097.2;1158.83;1244.59;3660.68;1.2211;63.45;110.8159
2007-06-29;7514.07;97.33;210.78;219.2199;1084.32;1143.72;1226.65;3632.44;1.233;67.49;110.4508
2007-07-31;7271.66;97.84;209.6;219.7151;1077.82;1128.45;1198.82;3552.00;1.2069;74.12;110.3183
2007-08-31;7231.45;98.71;208.23;220.2462;1082.78;1131.54;1199.16;3549.30;1.2027;72.36;109.4393
2007-09-28;7262.53;98.9;207.85;220.758;1087.4;1138.46;1209.29;3718.09;1.1852;79.91;109.1551
2007-10-31;7372.14;99.47;202.99;221.265;1096.57;1152.46;1229.89;3832.13;1.1741;85.8;108.3395
2007-11-30;7154.69;100.23;197.93;221.7717;1082.97;1124.44;1181.73;3675.49;1.1233;94.77;108.1772
2007-12-28;6925.44;99.51;199.45;222.2818;1073.19;1110.24;1161.83;3628.07;1.1402;91.69;107.5085
2008-01-31;6234.18;100.52;199.56;222.7738;1050.35;1065.21;1085.32;3350.82;1.1006;92.97;107.0258
2008-02-29;6188.55;100.42;205.29;223.2936;1046.57;1056.6;1070.64;3331.42;1.089;95.39;105.7809
2008-03-31;5961.47;99.87;205.39;223.8311;1028.47;1028.69;1030.11;3299.49;1.0126;105.45;104.7808
2008-04-30;6294.68;99.61;207.43;224.3555;1051.17;1067.24;1089.04;3472.91;1.0138;112.58;103.7486
2008-05-30;6333.56;99.48;210.33;224.8755;1052.65;1070.83;1095.7;3525.86;1.0448;125.4;102.429
2008-06-30;5855.52;98.9;209.72;225.3989;1020.95;1020.79;1021.64;3244.65;1.0371;133.88;101.4504
2008-07-31;5964.48;100.55;208.09;225.9172;1031.52;1031.08;1031.38;3165.37;1.0283;133.37;99.99
2008-08-29;6061.78;101.51;206.47;226.4346;1042.79;1044.22;1047.03;3120.91;1.0841;116.67;97.8827
2008-09-30;5563.93;101;208.75;226.9929;1011.39;996.43;978;2749.71;1.1102;104.11;94.4216
2008-10-31;5044.85;99.43;196.28;227.5076;953.5;913.67;865.87;2228.36;1.1429;76.61;92.895
2008-11-28;4780.29;103.51;197;227.7456;959.78;903.45;837.24;2084.12;1.191;57.31;90.0415
2008-12-30;4567.57;104.02;200.51;227.8713;949.66;880.77;801.03;2150.99;1.1404;41.12;86.6927
2009-01-30;4375.72;104.62;206.29;227.9714;945.35;871.82;787.3;1962.55;1.1267;41.71;83.1769
2009-02-27;3929.92;103.63;206.08;228.0655;914.5;827.96;730.29;1761.67;1.1639;39.09;81.1558
2009-03-31;4137.35;103.66;211.18;228.1421;931.55;849.94;757.47;1894.51;1.1555;47.94;78.4664
2009-04-30;4487.52;104.64;214.69;228.2187;971.4;906.76;829.98;2107.04;1.1481;49.65;76.8204
2009-05-29;4615.16;104.92;220.33;228.2944;984.31;923.76;851.19;2297.95;1.1076;59.03;74.9987
2009-06-30;4662.64;105.93;220.3;228.3696;994.44;934.46;862.3;2287.58;1.0809;69.64;73.6239
2009-07-31;5109.4;108.34;221.72;228.4381;1029.45;977.03;913.27;2481.33;1.078;64.15;73.4621
2009-08-31;5346.17;109.36;224.44;228.4984;1047.36;998.93;939.41;2583.70;1.0683;71.05;72.957
2009-09-30;5461.31;109.96;229.61;228.5533;1062.8;1017.95;962.27;2686.68;1.0391;69.41;72.2816
2009-10-30;5402.58;110.13;231.64;228.6032;1057.22;1006.96;945.48;2638.88;1.0213;75.72;71.634
2009-11-30;5388.37;110.71;231.08;228.6508;1064.97;1015.53;954.79;2746.71;1.0131;77.99;71.7416
2009-12-30;5626.4;110.68;239.83;228.6988;1079.6;1037.35;985.07;2796.04;1.0301;74.47;71.4195
2010-01-29;5570.19;111.66;244.84;228.7465;1084.16;1037.8;980.52;2680.47;1.0345;78.33;71.3838
2010-02-26;5763.27;112.52;235.99;228.7941;1095.19;1053.79;1002.03;2718.26;1.0722;76.39;71.0704
2010-03-31;6007.84;112.68;243.65;228.8412;1112.97;1078.27;1034.47;2886.60;1.0666;81.2;71.0206
